wordpress	test transition

						HOMEPAGE	PAGE	SEARCH	BLOGPOST	ARCHIVE_MONTHLY	CATEGORY	AUTHOR	BLOGPOST_PAGED	SEARCH_PAGED	ARCHIVE_MONTHLY_PAGED	CATEGORY_PAGED	AUTHOR_PAGED	LOGIN	RSS_ENTRIES	RSS_COMMENTS	WORDPRESS_WEBSITE	ADD_ANONYMOUS_COMMENT
HOMEPAGE				0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		1	1	1	1	1
PAGE					0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
SEARCH					0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
BLOGPOST				0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
ARCHIVE_MONTHLY			0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
CATEGORY				0.1		0.05	0.1		0.05	0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
AUTHOR					0.1		0.05	0.1		0.05	0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
BLOGPOST_PAGED			0.1		0		0		0.1		0		0		0		0.1		0		0		0		0		0	0	0	0	0
SEARCH_PAGED			0		0		0.1		0		0		0		0		0		0.1		0		0		0		0	0	0	0	0
ARCHIVE_MONTHLY_PAGED	0		0		0		0		0.1		0		0		0		0		0.1		0		0		0	0	0	0	0
CATEGORY_PAGED			0		0		0		0		0		0.1		0		0		0		0		0.1		0		0	0	0	0	0
AUTHOR_PAGED			0		0		0		0		0		0		0.1		0		0		0		0		0.1		0	0	0	0	0
LOGIN					0.05	0.1		0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0
RSS_ENTRIES				0.05	0.1		0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0
RSS_COMMENTS			0.05	0.1		0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0
WORDPRESS_WEBSITE		0.05	0.1		0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0
ADD_ANONYMOUS_COMMENT	0		0.1		0		0.1		0		0		0		0		0		0		0		0		0	0	0	0	0

						HOMEPAGE	PAGE	SEARCH	BLOGPOST	ARCHIVE_MONTHLY	CATEGORY	AUTHOR	BLOGPOST_PAGED	SEARCH_PAGED	ARCHIVE_MONTHLY_PAGED	CATEGORY_PAGED	AUTHOR_PAGED	LOGIN	RSS_ENTRIES	RSS_COMMENTS	WORDPRESS_WEBSITE	ADD_ANONYMOUS_COMMENT
HOMEPAGE				0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		1	1	1	1	1
PAGE					0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
SEARCH					0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
BLOGPOST				0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
ARCHIVE_MONTHLY			0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
CATEGORY				0.1		0.05	0.1		0.05	0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
AUTHOR					0.05	0.05	0.1		0.05	0.1		0.1		0.1		0.1		0.1		0.1		0.1		0.1		0	0	0	0	0
BLOGPOST_PAGED			0.05	0		0		0.1		0		0		0		0.1		0		0		0		0		0	0	0	0	0
SEARCH_PAGED			0		0		0.1		0		0		0		0		0		0.1		0		0		0		0	0	0	0	0
ARCHIVE_MONTHLY_PAGED	0		0		0		0		0.1		0		0		0		0		0.1		0		0		0	0	0	0	0
CATEGORY_PAGED			0		0		0		0		0		0.1		0		0		0		0		0.1		0		0	0	0	0	0
AUTHOR_PAGED			0		0		0		0		0		0		0.1		0		0		0		0		0.1		0	0	0	0	0
LOGIN					0.05	0.1		0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0
RSS_ENTRIES				0.05	0.1		0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0
RSS_COMMENTS			0.05	0.1		0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0
WORDPRESS_WEBSITE		0.05	0.1		0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0
ADD_ANONYMOUS_COMMENT	0.1		0.1		0		0.1		0		0		0		0		0		0		0		0		0	0	0	0	0
