wordpress	test transitionLoggedIn

						HOMEPAGE	PAGE	SEARCH	BLOGPOST	ARCHIVE_MONTHLY	CATEGORY	AUTHOR	BLOGPOST_PAGED	SEARCH_PAGED	ARCHIVE_MONTHLY_PAGED	CATEGORY_PAGED	AUTHOR_PAGED	WORDPRESS_WEBSITE	ADD_ANONYMOUS_COMMENT	LOGIN_SEND_CREDENTIALS	LOG_OUT	ADD_COMMENT	ADD_POST	ADD_PAGE	ADD_USER	ADD_CATEGORY
HOMEPAGE		0.1	0.1	0.1	0.05	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	0.3	1	0.2	0.3	0.3	0.3	0.3
PAGE			0.1	0.1	0.1	0.05	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0
SEARCH			0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0	0	0	0	0
BLOGPOST		0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0
ARCHIVE_MONTHLY	0.1	0.05	0.1	0.05	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0
CATEGORY		0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0	0	0	0	0
AUTHOR			0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0	0	0	0	0
BLOGPOST_PAGED	0.1	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEARCH_PAGED	0	0	0.1	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
ARCHIVE_MONTHLY_PAGED	0	0	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
CATEGORY_PAGED	0	0	0	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
AUTHOR_PAGED	0	0	0	0	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
WORDPRESS_WEBSITE	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0	0	0	0	0
ADD_ANONYMOUS_COMMENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOGIN_SEND_CREDENTIALS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOG_OUT			0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.1	0	0.1	0.1	0.1	0.1	0.1
ADD_COMMENT		0	0.15	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0
ADD_POST		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.25	0	0.2	0.25	0.25	0.25	0.25
ADD_PAGE		0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.25	0	0.15	0.25	0.25	0.25	0.25
ADD_CATEGORY	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.1	0	0.1	0.1	0.1	0.1	0.1
